IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
195.58.39.173,2a0f:cdc6:500:1372::2,443,2.27,DE,FRA,152.94,170.69
151.244.97.2,67.220.82.10,443,2.27,DE,FRA,139.64,143.51
31.172.70.20,2a02:6b40:2000:dad::1,443,2.26,DE,FRA,136.85,142.91
64.188.118.69,64.188.118.69,443,2.25,DE,FRA,159.23,178.47
103.56.84.189,103.56.84.189,443,2.23,DE,MUC,142.92,161.77
154.91.170.4,154.91.170.4,8443,2.2,DE,FRA,162.73,169.12
91.149.222.113,91.149.222.113,443,2.19,DE,AMS,138.56,188.14
108.165.236.247,108.165.236.247,443,2.19,DE,FRA,144.78,193.79
154.91.170.4,154.91.170.4,443,2.19,DE,FRA,160.22,165.77
167.17.176.201,167.17.176.201,443,2.19,DE,FRA,144.5,156.35
62.60.217.170,62.60.217.170,443,2.18,DE,FRA,151.15,193.94
91.99.222.109,91.99.222.109,443,2.17,DE,SOF,141.74,210.75
82.21.117.137,82.21.117.137,443,2.17,DE,ZRH,150.41,165.27
138.124.126.116,138.124.126.116,443,2.16,DE,MUC,149.12,164.91
207.244.199.221,207.244.199.221,443,2.16,DE,OTP,145.49,224.01
77.239.104.216,2a01:ecc0:40:69f::2,443,2.15,DE,FRA,145.39,153.09
64.188.115.82,64.188.115.82,443,2.15,DE,FRA,151.1,150.53
194.87.71.141,194.87.71.141,443,2.15,DE,OTP,140.47,201.7
5.39.249.167,5.39.249.167,443,2.14,DE,AMS,136.98,156.11
138.124.228.122,138.124.228.122,443,2.13,DE,FRA,153.06,188.26
103.75.197.94,103.75.197.94,443,2.13,DE,FRA,150.72,185.51
37.1.193.40,37.1.193.40,443,2.13,DE,FRA,139.44,158.63
31.76.60.114,31.76.60.114,443,2.13,DE,FRA,145.18,154.88
83.219.249.208,83.219.249.208,443,2.09,DE,AMS,151.12,167.72
91.107.254.128,91.107.254.128,443,2.09,DE,CDG,140.27,173.12
103.109.234.61,103.109.234.61,443,2.08,DE,FRA,143.79,190.17
194.31.223.51,194.31.223.51,2053,2.08,DE,OTP,137.89,195.51
169.128.116.94,169.128.116.94,443,2.08,DE,FRA,165.39,203.52
85.215.196.151,85.215.196.151,443,2.06,DE,TXL,152.62,155.6
2.26.17.154,2.26.17.154,443,2.06,DE,FRA,153.02,169.23
31.58.138.2,67.220.82.10,443,2.05,DE,FRA,140.15,143.58
144.31.213.127,144.31.213.127,443,2.05,DE,FRA,146.82,151.78
151.244.201.2,67.220.82.10,443,2.02,DE,FRA,146.08,151.33
193.233.86.136,193.233.86.136,443,2.02,DE,FRA,148.4,150.66
91.99.148.150,91.99.148.150,443,2.0,DE,SOF,147.29,207.13
77.239.98.122,77.239.98.122,443,1.99,DE,FRA,146.73,153.86
35.156.136.70,35.156.136.70,443,1.98,DE,FRA,138.8,143.57
92.5.12.76,92.5.12.76,443,1.97,DE,MUC,136.75,155.27
80.244.13.29,142.248.1.14,443,1.94,DE,MXP,139.4,176.54
45.90.99.214,45.90.99.214,443,1.93,DE,FRA,141.43,148.25
89.58.45.162,89.58.45.162,8443,1.93,DE,HAM,151.06,198.26
31.70.102.188,31.70.102.188,443,1.88,DE,TXL,152.85,158.58
188.68.37.56,2a03:4000:13:f57:74b3:1bff:fe86:6faa,443,1.87,DE,HAM,149.63,179.68
103.27.156.147,103.27.156.147,443,1.87,DE,ZRH,153.36,162.02
49.13.230.36,49.13.230.36,443,1.86,DE,CDG,146.59,190.21
185.172.131.196,185.172.131.196,443,1.86,DE,LHR,140.05,172.83
94.237.80.56,94.237.80.56,443,1.85,DE,FRA,136.6,141.13
89.58.45.162,89.58.45.162,443,1.81,DE,HAM,150.9,202.46
152.53.229.84,2a0a:4cc0:c0:8d54:986c:94ff:fe59:b533,443,1.77,DE,HAM,141.03,172.16
95.140.154.46,95.140.154.46,443,1.76,DE,AMS,138.17,157.58
185.233.81.147,185.233.81.147,443,1.71,DE,FRA,137.44,144.19
2.26.63.118,2.26.63.118,443,1.7,DE,FRA,156.64,172.44
103.31.76.16,103.31.76.16,443,1.66,DE,ZRH,153.27,164.03
47.245.131.215,47.245.131.215,8443,1.63,DE,MUC,136.79,171.76
68.183.213.79,68.183.213.79,443,1.61,DE,FRA,141.78,146.06
192.248.183.18,192.248.183.18,443,1.61,DE,FRA,140.28,147.58
91.108.243.115,91.108.243.115,443,1.61,DE,FRA,150.89,171.69
79.133.51.180,79.133.51.180,443,1.6,DE,MUC,137.08,158.43
144.31.214.124,144.31.214.124,443,1.58,DE,FRA,154.84,164.94
46.249.100.111,46.249.100.111,2053,1.54,DE,FRA,149.22,169.67
45.13.226.158,45.13.226.158,443,1.51,DE,FRA,139.98,151.58
88.198.149.98,2a01:4f8:c17:7ef7:de6e::2,443,1.5,DE,PRG,140.21,154.88
193.23.211.202,2a12:bec4:1bb0:43b::2,443,1.46,DE,FRA,136.53,150.39
49.12.237.71,49.12.237.71,443,1.4,DE,CDG,140.94,173.67
188.68.37.56,2a03:4000:13:f57:74b3:1bff:fe86:6faa,2053,1.37,DE,HAM,149.66,179.88
2.27.18.52,2.27.18.52,443,1.33,DE,MUC,153.54,188.76
77.91.66.21,77.91.66.21,443,1.27,DE,MUC,146.5,169.23
194.37.80.244,194.37.80.244,443,1.26,DE,MUC,148.95,161.61
5.75.220.97,2a01:4f8:c17:7ef7:de6e::2,443,1.22,DE,PRG,140.83,155.45
150.230.155.135,150.230.155.135,443,1.02,DE,FRA,139.03,144.48
195.133.26.164,195.133.26.164,8443,4.02,FI,ARN,156.16,181.08
78.17.187.151,78.17.187.151,443,3.72,FI,HEL,153.69,210.95
38.244.137.183,38.244.137.183,443,3.72,FI,TLL,147.13,155.43
193.124.182.211,193.124.182.211,443,3.59,FI,ARN,154.07,177.31
109.107.155.76,109.107.155.76,443,3.49,FI,ARN,162.61,173.99
212.237.219.99,212.237.219.99,443,3.3,FI,ARN,156.22,192.28
212.237.219.229,212.237.219.229,443,3.28,FI,ARN,153.83,169.98
185.9.26.11,185.9.26.11,443,3.26,FI,ARN,157.4,196.6
193.84.2.148,193.84.2.148,443,3.22,FI,ARN,169.29,189.48
217.179.49.227,217.179.49.227,443,3.16,FI,ARN,153.41,170.33
38.244.136.91,38.244.136.91,443,3.15,FI,TLL,164.58,165.16
45.80.229.176,45.80.229.176,443,3.14,FI,ARN,173.61,203.83
185.94.167.63,185.94.167.63,443,3.11,FI,ARN,160.61,195.25
46.38.156.59,46.38.156.59,443,3.11,FI,ARN,153.39,200.85
46.8.218.100,46.8.218.100,443,3.07,FI,ARN,178.8,193.53
185.9.26.11,185.9.26.11,8443,3.04,FI,ARN,166.6,200.88
45.136.126.76,45.136.126.76,443,3.03,FI,HEL,153.54,169.73
83.97.78.168,83.97.78.168,2053,3.0,FI,TLL,176.52,177.1
144.31.143.6,144.31.143.6,443,2.93,FI,ARN,160.54,229.19
45.14.246.20,45.14.246.20,443,2.92,FI,ARN,167.84,207.66
38.244.139.13,149.33.14.244,443,2.9,FI,HEL,199.48,225.63
95.81.93.80,95.81.93.80,443,2.82,FI,HEL,153.97,239.73
185.112.82.28,185.112.82.28,443,2.81,FI,ARN,176.9,270.14
84.19.3.83,84.19.3.83,443,2.79,FI,ARN,211.49,210.77
194.113.38.246,194.113.38.246,443,2.79,FI,ARN,157.16,176.3
87.239.251.254,87.239.251.254,443,2.79,FI,HEL,154.34,170.13
109.206.243.100,109.206.243.100,443,2.79,FI,ARN,159.33,187.0
109.206.243.100,109.206.243.100,2053,2.78,FI,ARN,160.65,210.36
213.155.11.113,213.155.11.113,443,2.77,FI,ARN,155.16,183.42
31.77.144.240,31.77.144.240,443,2.76,FI,ARN,170.8,208.8
151.241.229.145,151.241.229.145,443,2.75,FI,ARN,174.95,186.03
109.206.243.198,109.206.243.198,443,2.74,FI,ARN,156.73,185.79
46.20.106.214,46.20.106.214,443,2.74,FI,HEL,169.25,178.83
149.33.36.94,149.33.36.94,443,2.69,FI,HEL,151.75,161.6
45.136.117.194,45.136.117.194,443,2.68,FI,TLL,152.83,162.43
109.206.243.100,109.206.243.100,2087,2.68,FI,ARN,159.74,196.22
192.145.29.34,192.145.29.34,8443,2.66,FI,TLL,153.56,172.41
78.17.99.49,78.17.99.49,443,2.66,FI,ARN,169.42,200.58
78.40.211.113,78.40.211.113,443,2.66,FI,ARN,157.89,180.69
185.232.204.222,185.232.204.222,443,2.66,FI,ARN,160.2,193.08
185.239.141.89,185.239.141.89,443,2.65,FI,ARN,154.71,184.08
2.26.105.147,2.26.105.147,443,2.64,FI,ARN,170.99,188.43
31.77.158.93,2.26.101.82,443,2.64,FI,ARN,163.2,181.45
144.31.129.7,144.31.129.7,443,2.64,FI,HEL,164.81,175.0
45.80.231.90,45.80.231.90,443,2.63,FI,ARN,188.61,225.64
89.125.210.106,89.125.210.106,443,2.63,FI,HEL,174.63,189.12
144.31.152.127,144.31.152.127,443,2.63,FI,ARN,164.21,188.86
109.206.243.100,109.206.243.100,2096,2.62,FI,ARN,164.49,191.59
2.26.101.82,2.26.101.82,443,2.61,FI,HEL,165.19,215.17
194.113.38.229,194.113.38.229,443,2.6,FI,MXP,161.65,232.63
151.243.208.197,151.243.208.197,8443,2.59,FI,HEL,169.8,219.25
192.145.29.34,192.145.29.34,443,2.57,FI,HEL,155.03,161.78
65.108.245.196,65.108.245.196,443,2.57,FI,HEL,163.01,171.69
135.136.177.174,135.136.177.174,443,2.55,FI,ARN,153.94,181.11
193.221.203.206,193.221.203.206,443,2.54,FI,ARN,153.5,183.73
138.124.244.182,138.124.244.182,8443,2.54,FI,ARN,161.55,189.01
150.241.88.13,150.241.88.13,443,2.53,FI,MXP,160.03,262.0
104.128.131.94,104.128.131.94,443,2.53,FI,TLL,155.7,166.45
81.177.214.13,81.177.214.13,443,2.52,FI,ARN,164.98,178.2
78.153.139.20,78.153.139.20,443,2.52,FI,TLL,167.2,180.8
78.17.85.106,78.17.85.106,443,2.52,FI,HEL,164.9,191.47
109.107.155.76,109.107.155.76,2053,2.52,FI,ARN,164.2,175.54
193.164.128.133,193.164.128.133,443,2.52,FI,ARN,158.1,209.79
2.27.14.94,2.27.14.94,443,2.52,FI,HEL,163.16,174.9
31.77.202.220,31.77.202.220,2087,2.52,FI,ARN,166.01,179.47
89.125.26.88,89.125.26.88,443,2.52,FI,HEL,164.4,187.53
83.97.78.168,83.97.78.168,443,2.51,FI,ARN,164.84,178.3
204.168.198.23,204.168.198.23,443,2.51,FI,HEL,168.0,212.64
31.77.183.133,31.77.183.133,443,2.5,FI,ARN,163.23,190.42
77.232.143.94,77.232.143.94,443,2.49,FI,ARN,191.9,219.91
31.77.202.220,31.77.202.220,443,2.48,FI,ARN,161.99,180.52
150.241.88.243,150.241.88.243,443,2.47,FI,ARN,157.77,187.06
193.47.60.247,193.47.60.247,443,2.43,FI,ARN,154.48,170.69
185.230.190.148,185.230.190.148,443,2.42,FI,ARN,170.89,190.11
95.217.12.150,95.217.12.150,443,2.42,FI,HEL,162.41,168.23
151.243.208.197,151.243.208.197,443,2.41,FI,HEL,170.87,250.55
79.137.184.183,79.137.184.183,443,2.4,FI,ARN,185.89,200.39
45.14.165.234,45.14.165.234,8443,2.39,FI,TLL,168.92,158.7
95.214.9.167,95.214.9.167,443,2.39,FI,ARN,153.16,196.38
45.136.126.74,45.136.126.74,443,2.39,FI,HEL,154.68,168.15
2.26.23.190,2.26.23.190,443,2.39,FI,MXP,168.39,263.34
31.76.103.14,31.76.103.14,443,2.37,FI,TLL,170.91,173.81
65.21.62.180,65.21.62.180,443,2.37,FI,HEL,163.76,179.18
185.94.167.223,185.94.167.223,443,2.37,FI,ARN,155.86,175.51
213.176.119.139,213.176.119.139,443,2.37,FI,MXP,199.7,281.51
138.124.25.223,138.124.25.223,443,2.36,FI,ARN,171.68,207.1
109.120.185.18,109.120.185.18,443,2.36,FI,ARN,176.7,253.67
91.149.219.49,91.149.219.49,443,2.34,FI,HEL,169.56,176.13
78.17.39.165,78.17.39.165,2053,2.33,FI,ARN,169.12,190.9
91.186.217.49,91.186.217.49,443,2.32,FI,ARN,170.95,203.36
5.183.253.112,5.183.253.112,443,2.32,FI,ARN,159.83,164.78
45.137.81.23,45.137.81.23,443,2.31,FI,ARN,175.72,257.2
85.208.119.187,85.208.119.187,443,2.28,FI,ARN,156.93,173.7
151.245.139.125,151.245.139.125,443,2.27,FI,HEL,168.39,173.23
185.103.102.251,185.103.102.251,443,2.26,FI,MXP,173.72,292.52
185.227.68.190,185.227.68.190,443,2.26,FI,ARN,156.85,192.4
65.109.220.202,65.109.220.202,443,2.25,FI,HEL,179.91,198.46
185.17.2.147,185.17.2.147,443,2.25,FI,ARN,159.16,193.57
185.106.94.143,185.106.94.143,443,2.24,FI,ARN,154.04,170.4
82.40.57.83,82.40.57.83,443,2.23,FI,HEL,168.52,219.83
81.19.139.231,81.19.139.231,443,2.22,FI,TLL,166.92,178.97
31.77.202.244,31.77.202.244,443,2.2,FI,MXP,156.54,257.52
177.3.214.150,177.3.214.150,443,2.2,FI,ARN,163.46,187.11
79.110.48.71,79.110.48.71,443,2.2,FI,HEL,157.65,173.54
195.96.156.240,195.96.156.240,443,2.19,FI,ARN,158.04,170.82
193.168.198.220,193.168.198.220,443,2.19,FI,ARN,157.61,177.94
138.124.75.161,138.124.75.161,443,2.18,FI,ARN,153.13,168.84
37.27.92.255,37.27.92.255,8443,2.18,FI,AMS,163.71,229.81
91.186.219.82,91.186.219.82,443,2.18,FI,MXP,172.83,253.43
91.217.76.192,91.217.76.192,443,2.17,FI,HEL,156.41,162.33
85.137.24.82,85.137.24.82,443,2.17,FI,TLL,159.97,172.7
138.124.244.40,138.124.244.40,443,2.16,FI,ARN,165.97,182.07
206.245.135.117,206.245.135.117,443,2.16,FI,ARN,175.38,200.48
45.14.165.234,45.14.165.234,443,2.15,FI,TLL,168.63,159.0
178.17.53.10,178.17.53.10,443,2.15,FI,ARN,180.7,182.18
45.136.126.77,45.136.126.77,443,2.14,FI,HEL,157.92,166.31
151.243.145.139,151.243.145.136,443,2.13,FI,ARN,172.24,219.14
138.124.102.224,138.124.102.224,443,2.13,FI,MXP,172.34,304.46
185.104.250.9,185.104.250.9,443,2.12,FI,ARN,166.15,186.54
84.22.150.176,84.22.150.176,443,2.12,FI,MXP,187.52,268.35
82.25.185.217,82.25.185.217,443,2.11,FI,HEL,171.12,183.82
46.226.165.199,46.226.165.199,443,2.11,FI,MXP,170.92,261.68
89.125.81.30,89.125.81.30,443,2.1,FI,ARN,179.4,193.25
78.153.139.207,78.153.139.207,443,2.09,FI,ARN,168.6,182.0
178.17.53.85,178.17.53.85,443,2.09,FI,ARN,165.57,182.72
62.238.108.237,62.238.108.237,443,2.08,FI,HEL,168.42,174.5
82.25.185.242,82.25.185.242,443,2.04,FI,HEL,167.86,193.67
163.5.153.133,163.5.153.133,443,2.03,FI,HEL,166.44,186.41
95.216.223.177,95.216.223.177,443,2.03,FI,HEL,162.93,168.67
45.131.135.79,45.131.135.79,443,2.02,FI,ARN,155.52,192.86
45.141.177.0,45.141.177.0,443,2.02,FI,MXP,173.61,268.66
193.23.201.56,193.35.17.252,443,2.01,FI,TLL,163.0,188.66
78.17.35.41,78.17.35.41,443,2.01,FI,ARN,169.35,193.56
194.180.189.194,194.180.189.194,443,2.01,FI,HEL,168.14,174.59
212.192.223.30,2605:e440:7::1:192,8443,2.01,FI,HEL,168.84,189.33
78.17.64.207,78.17.64.207,443,2.0,FI,HEL,168.0,194.72
31.77.202.244,31.77.202.244,8443,1.99,FI,MXP,164.61,247.21
2.26.105.99,2.26.105.99,443,1.99,FI,ARN,163.45,182.12
94.156.180.201,94.156.180.201,443,1.95,FI,ARN,165.11,201.93
82.25.185.217,82.25.185.217,2096,1.94,FI,HEL,173.9,178.02
89.125.92.113,89.125.92.113,443,1.94,FI,ARN,167.6,216.24
81.19.139.232,81.19.139.232,443,1.94,FI,TLL,169.27,180.81
2.27.30.80,2.27.30.80,443,1.92,FI,HEL,163.73,169.09
151.245.140.223,151.245.140.223,443,1.9,FI,HEL,173.94,202.04
65.21.16.187,65.21.225.15,443,1.86,FI,HEL,163.79,172.5
85.209.156.253,85.209.156.253,443,1.86,FI,ARN,154.1,183.07
77.42.39.231,77.42.39.231,8443,1.85,FI,HEL,169.05,179.53
65.21.52.62,65.21.52.62,443,1.85,FI,HEL,170.09,171.25
109.120.132.6,109.120.132.6,443,1.84,FI,ARN,179.12,214.68
78.17.216.148,78.17.216.148,443,1.84,FI,ARN,172.13,201.19
193.124.36.16,193.124.36.16,443,1.84,FI,HEL,167.53,184.48
78.17.111.46,78.17.111.46,2053,1.84,FI,ARN,165.23,193.28
95.217.237.91,95.217.237.91,443,1.83,FI,HEL,164.6,175.11
138.124.80.13,138.124.80.13,443,1.83,FI,ARN,166.46,186.64
151.245.140.204,151.245.140.204,443,1.82,FI,ARN,165.49,182.89
93.152.207.163,93.152.207.163,443,1.82,FI,ARN,165.67,191.29
66.151.35.81,66.151.35.81,443,1.82,FI,HEL,168.12,192.9
195.26.230.12,195.26.230.12,443,1.82,FI,HEL,172.57,188.18
185.193.102.119,185.193.102.119,443,1.82,FI,HEL,186.88,177.2
78.17.42.37,78.17.42.37,2053,1.82,FI,HEL,175.23,183.34
138.124.244.182,138.124.244.182,443,1.82,FI,HEL,163.2,191.02
95.217.164.169,95.217.164.169,443,1.8,FI,HEL,172.96,183.64
2.26.101.36,2.26.101.36,443,1.79,FI,HEL,192.61,223.39
2.26.101.36,2.26.101.36,8443,1.79,FI,HEL,173.72,216.61
78.17.42.37,78.17.42.37,443,1.79,FI,HEL,170.57,187.77
45.67.202.36,45.67.202.36,443,1.78,FI,ARN,171.66,209.94
2.57.242.152,2.57.242.152,443,1.74,FI,HEL,175.38,188.01
94.156.180.201,94.156.180.201,8443,1.73,FI,ARN,178.74,182.75
78.17.111.46,78.17.111.46,443,1.72,FI,HEL,165.82,182.05
78.17.187.181,78.17.187.181,443,1.7,FI,HEL,151.59,170.65
212.87.222.32,212.87.222.32,443,1.69,FI,ARN,167.8,172.7
82.25.185.46,82.25.185.46,443,1.68,FI,HEL,169.45,224.86
185.188.181.14,185.188.181.14,443,1.62,FI,ARN,158.35,188.88
95.217.164.169,95.217.164.169,2053,1.61,FI,HEL,168.87,178.55
144.31.184.200,144.31.184.200,443,1.61,FI,ARN,164.15,192.68
5.61.90.135,5.61.90.135,443,1.6,FI,HEL,168.18,188.67
138.124.103.161,138.124.103.161,443,1.59,FI,ARN,177.02,284.12
77.42.39.231,77.42.39.231,443,1.58,FI,HEL,167.93,176.91
138.124.118.160,138.124.118.160,443,1.58,FI,ARN,181.8,200.17
144.31.99.228,144.31.99.228,443,1.58,FI,ARN,195.64,261.11
188.241.54.51,188.241.54.51,2083,1.56,FI,TXL,386.84,290.76
91.186.212.238,91.186.212.238,443,1.54,FI,ARN,173.31,256.43
217.114.11.177,83.172.135.107,443,1.5,FI,TLL,224.76,285.08
135.181.84.31,135.181.84.31,443,1.5,FI,HEL,162.53,175.13
62.60.252.216,62.60.252.216,443,1.49,FI,ARN,201.78,219.27
85.208.119.188,85.208.119.188,443,1.49,FI,ARN,155.65,186.6
37.27.92.255,37.27.92.255,443,1.48,FI,AMS,163.84,233.25
193.32.179.220,193.32.179.220,443,1.46,FI,ARN,154.03,177.52
78.17.39.165,78.17.39.165,443,1.46,FI,TLL,166.94,190.73
141.0.184.108,141.0.184.108,443,1.44,FI,HEL,169.72,190.51
62.60.252.157,2a01:ecc0:4000:489::2,443,1.44,FI,AMS,206.29,268.69
185.212.149.7,185.212.149.7,443,1.43,FI,ARN,161.82,166.98
111.88.215.50,111.88.215.50,443,1.4,FI,HEL,165.81,195.57
212.192.223.30,212.192.223.30,443,1.4,FI,HEL,171.77,185.83
31.76.51.174,31.76.51.174,443,1.36,FI,MXP,167.75,277.35
31.76.51.174,31.76.51.174,8443,1.34,FI,MXP,167.73,266.09
77.42.39.231,77.42.39.231,2053,1.3,FI,HEL,162.7,175.63
89.167.109.28,89.167.109.28,443,1.28,FI,HEL,163.24,179.53
65.109.184.3,65.109.184.3,443,1.27,FI,HEL,168.32,171.97
65.21.224.102,65.21.224.102,443,1.24,FI,AMS,163.41,246.72
87.239.250.189,87.239.250.189,443,1.23,FI,HEL,154.28,198.88
95.217.164.169,95.217.164.169,8443,1.23,FI,HEL,163.93,187.35
37.143.129.215,37.143.129.215,443,1.16,FI,ARN,156.42,230.13
89.125.92.172,89.125.92.172,443,1.11,FI,ARN,175.22,206.37
31.59.138.204,94.183.187.190,443,7.18,FR,CDG,29.03,261.79
94.183.186.228,94.183.186.228,443,6.07,FR,CDG,130.05,153.07
152.228.191.232,152.228.191.1,443,5.94,FR,CDG,150.03,147.81
185.10.18.238,185.10.18.238,443,5.83,FR,CDG,139.25,136.31
45.77.61.133,45.77.61.133,443,5.8,FR,CDG,143.94,141.14
94.183.188.21,94.183.188.21,443,5.67,FR,CDG,135.56,170.27
185.234.100.41,185.234.100.41,443,5.62,FR,CDG,125.44,130.19
104.253.79.6,104.253.79.6,443,5.58,FR,CDG,128.34,133.45
94.183.186.121,94.183.186.121,443,5.47,FR,CDG,146.84,156.76
104.238.191.179,104.238.191.179,443,5.46,FR,CDG,135.66,139.55
45.144.28.101,45.144.28.101,443,5.43,FR,CDG,127.87,136.26
194.76.155.84,194.76.155.83,8443,5.31,FR,CDG,126.77,135.53
31.59.103.13,31.59.103.13,443,5.3,FR,CDG,126.42,137.94
185.10.19.205,185.10.19.205,443,5.22,FR,CDG,125.67,131.26
138.124.70.97,138.124.70.97,443,5.03,FR,CDG,129.47,140.85
31.56.176.44,31.56.176.44,443,4.99,FR,CDG,138.71,132.65
217.60.39.127,217.60.39.127,443,4.69,FR,CDG,129.17,185.7
94.183.187.190,94.183.187.190,443,4.24,FR,CDG,126.86,139.07
132.243.204.84,132.243.204.84,443,4.23,FR,BRU,137.24,157.74
147.90.26.76,23.168.88.168,443,4.2,FR,CDG,140.69,166.18
194.76.155.85,194.76.155.83,8443,4.18,FR,CDG,127.77,135.63
31.56.48.172,31.56.48.172,2053,4.11,FR,CDG,129.18,153.27
94.183.186.27,94.183.186.27,443,4.09,FR,CDG,128.79,135.06
62.133.62.132,109.172.55.133,443,4.08,FR,CDG,140.74,148.4
158.178.215.52,158.178.215.52,443,4.04,FR,CDG,154.68,152.36
194.59.221.122,194.59.221.122,443,4.02,FR,CDG,127.15,135.48
94.183.188.90,94.183.188.90,443,4.01,FR,CDG,167.27,236.76
147.90.26.39,23.168.88.191,443,4.0,FR,CDG,144.28,153.47
109.172.55.133,109.172.55.133,443,3.96,FR,CDG,141.77,154.95
147.90.26.66,23.168.88.223,443,3.84,FR,CDG,161.72,239.11
13.37.29.92,13.37.29.92,443,3.83,FR,CDG,129.63,146.79
31.56.228.77,31.56.228.77,443,3.82,FR,CDG,130.55,137.03
51.91.16.135,51.91.16.135,443,3.79,FR,AMS,140.83,157.62
45.155.103.57,45.155.103.57,443,3.79,FR,BRU,144.87,169.46
31.56.48.172,31.56.48.172,8443,3.75,FR,CDG,126.41,138.33
91.134.43.127,91.134.43.127,443,3.74,FR,AMS,145.31,307.33
149.33.1.252,149.33.1.252,443,3.74,FR,CDG,131.87,147.3
147.90.26.21,23.168.88.244,443,3.72,FR,CDG,171.28,193.63
147.90.26.7,23.168.88.85,443,3.71,FR,CDG,143.88,184.04
155.117.6.133,155.117.6.133,443,3.68,FR,CDG,152.34,181.67
188.92.28.145,188.92.28.145,8443,3.63,FR,CDG,156.43,139.27
185.171.202.243,185.171.202.243,443,3.6,FR,AMS,127.75,151.28
45.155.103.57,45.155.103.57,8443,3.58,FR,BRU,152.47,162.69
13.140.178.234,13.140.178.234,443,3.57,FR,FRA,144.78,171.69
80.71.229.235,80.71.229.235,443,3.54,FR,CDG,148.21,201.08
51.38.44.17,51.38.44.17,443,3.51,FR,CDG,142.66,158.51
151.242.159.86,151.242.159.86,443,3.46,FR,CDG,153.02,173.02
147.90.26.90,23.168.88.213,443,3.45,FR,CDG,138.41,148.29
147.90.26.68,23.168.88.192,443,3.43,FR,CDG,152.67,160.32
147.90.26.63,23.168.88.125,443,3.41,FR,CDG,216.29,183.91
147.90.26.62,23.168.88.135,443,3.38,FR,CDG,141.81,147.86
147.90.26.31,23.168.88.145,443,3.36,FR,CDG,181.27,160.89
147.90.26.74,23.168.88.52,443,3.33,FR,CDG,145.21,151.04
147.90.26.48,23.168.88.108,443,3.33,FR,CDG,144.81,154.74
147.90.14.132,147.90.14.132,443,3.31,FR,BRU,141.33,208.14
88.218.78.48,88.218.78.48,443,3.3,FR,CDG,149.17,176.75
147.90.26.44,23.168.88.179,443,3.3,FR,CDG,149.71,160.27
147.90.26.34,23.168.88.95,443,3.26,FR,CDG,143.85,165.26
147.90.26.84,23.168.88.239,443,3.25,FR,CDG,161.03,233.38
82.64.120.239,82.64.120.239,443,3.25,FR,CDG,144.24,186.29
109.172.55.148,109.172.55.148,443,3.23,FR,CDG,140.64,147.15
45.155.54.115,45.155.54.115,443,3.22,FR,CDG,127.42,139.44
147.90.26.28,23.168.88.190,443,3.21,FR,CDG,148.19,169.57
147.90.26.57,23.168.88.183,443,3.2,FR,CDG,152.72,182.64
147.90.26.81,23.168.88.89,443,3.19,FR,CDG,151.85,151.89
185.234.100.40,185.234.100.40,443,3.18,FR,CDG,125.4,131.71
158.220.123.76,158.220.123.76,443,3.18,FR,FRA,154.67,193.17
147.90.26.6,23.168.88.184,443,3.15,FR,CDG,138.99,145.63
179.255.188.94,179.255.188.94,443,3.15,FR,CDG,142.16,153.44
147.90.26.26,23.168.88.103,443,3.14,FR,CDG,142.66,148.51
179.255.188.97,179.255.188.97,443,3.14,FR,CDG,141.04,154.39
147.90.26.94,23.168.88.27,443,3.12,FR,CDG,145.82,162.48
51.91.78.12,2001:41d0:404:200::5a8,8443,3.1,FR,ZRH,148.39,177.92
147.90.26.91,23.168.88.110,443,3.08,FR,CDG,143.55,150.95
54.37.39.40,54.37.39.40,443,3.07,FR,CDG,137.48,155.16
147.90.26.3,23.168.88.139,443,3.05,FR,CDG,142.2,149.65
147.90.26.42,23.168.88.48,443,3.05,FR,CDG,141.77,147.7
5.135.211.253,5.135.211.253,443,3.05,FR,CDG,143.04,175.02
194.76.147.168,194.76.147.168,443,3.03,FR,CDG,127.03,136.4
147.90.26.30,23.168.88.151,443,3.03,FR,CDG,145.08,150.55
193.42.60.24,193.42.60.24,443,3.02,FR,MUC,145.38,184.97
147.90.26.41,23.168.88.35,443,3.02,FR,CDG,142.06,152.98
147.90.26.19,23.168.88.36,443,3.01,FR,CDG,146.13,156.62
179.255.188.92,179.255.188.92,443,3.0,FR,CDG,165.85,243.97
147.90.26.86,23.168.88.92,443,3.0,FR,CDG,159.56,147.84
161.97.66.16,2a02:c207:2252:8027::1,443,3.0,FR,FRA,145.49,154.77
147.90.26.83,23.168.88.224,443,3.0,FR,CDG,141.0,155.75
151.244.132.39,23.168.88.223,443,3.0,FR,CDG,141.66,151.28
45.8.132.247,2a02:c206:2123:7709::1,443,2.99,FR,MUC,145.29,174.63
147.90.26.85,23.168.88.43,443,2.96,FR,CDG,142.57,149.54
82.22.50.162,82.22.50.162,443,2.96,FR,BRU,146.57,201.81
147.90.26.33,23.168.88.246,443,2.96,FR,CDG,147.56,150.85
188.92.28.145,188.92.28.145,443,2.95,FR,CDG,209.59,137.05
147.90.26.10,23.168.88.33,443,2.94,FR,CDG,142.5,150.2
147.90.26.14,23.168.88.91,443,2.94,FR,CDG,144.42,151.3
20.33.23.66,20.33.23.66,443,2.93,FR,CDG,127.4,141.07
179.255.188.89,179.255.188.89,443,2.91,FR,CDG,142.97,152.99
