IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
83.228.193.229,83.228.193.229,443,2.61,CH,GVA,144.31,153.8
171.22.16.237,171.22.16.237,443,2.59,CH,ZRH,156.23,160.83
83.228.193.188,83.228.193.188,443,2.58,CH,GVA,154.8,149.64
83.228.193.162,83.228.193.162,443,2.57,CH,GVA,154.42,146.86
78.108.56.84,78.108.56.84,443,2.55,CH,GVA,145.45,170.77
87.120.222.199,87.120.222.199,443,2.52,CH,ZRH,154.66,161.91
87.120.222.207,87.120.222.207,443,2.48,CH,ZRH,160.59,221.3
45.59.123.140,45.59.123.140,443,2.43,CH,ZRH,152.8,190.0
152.67.64.55,152.67.64.55,443,2.41,CH,ZRH,166.74,159.23
152.67.85.239,152.67.85.239,443,2.39,CH,ZRH,151.02,165.22
179.255.191.84,179.255.191.84,443,2.37,CH,ZRH,161.05,174.0
140.238.209.8,140.238.209.8,443,2.37,CH,ZRH,149.9,160.11
171.22.16.231,171.22.16.231,443,2.36,CH,ZRH,157.76,180.58
87.120.222.125,87.120.222.125,443,2.35,CH,ZRH,157.87,161.8
179.255.191.81,179.255.191.81,443,2.27,CH,ZRH,160.12,165.81
179.255.191.90,179.255.191.90,443,2.27,CH,ZRH,160.15,178.37
83.228.193.177,83.228.193.177,8443,2.25,CH,GVA,144.86,160.85
176.10.125.114,176.10.125.114,443,2.25,CH,ZRH,141.96,149.81
179.255.191.76,179.255.191.76,443,2.22,CH,ZRH,161.42,176.9
91.192.102.219,91.192.102.219,443,2.19,CH,ZRH,144.18,157.45
83.228.193.188,83.228.193.188,8443,2.16,CH,GVA,152.54,164.7
179.255.191.89,179.255.191.89,443,2.15,CH,ZRH,164.83,174.69
82.21.4.172,82.21.4.172,443,2.13,CH,GVA,139.22,147.6
87.120.222.172,87.120.222.172,443,2.13,CH,ZRH,164.45,168.01
89.125.95.85,89.125.95.85,443,2.13,CH,ZRH,156.4,184.55
45.140.205.7,45.140.205.7,443,2.09,CH,ZRH,156.86,161.76
179.255.191.82,179.255.191.82,443,2.08,CH,ZRH,154.88,173.59
167.17.181.72,167.17.181.72,443,2.07,CH,CDG,163.56,192.54
179.255.191.86,179.255.191.86,443,2.07,CH,ZRH,158.75,176.7
171.22.16.201,171.22.16.201,443,1.86,CH,ZRH,208.02,185.86
213.176.18.232,213.176.18.232,443,1.64,CH,ZRH,159.97,166.15
185.167.234.192,185.167.234.192,443,1.61,CH,ZRH,158.05,165.32
150.241.108.48,2a01:ecc0:40:116::2,443,6.21,DE,FRA,162.78,169.84
68.183.77.241,68.183.77.241,443,5.79,DE,FRA,235.3,169.3
167.233.25.100,167.233.25.100,443,5.69,DE,FRA,147.91,159.87
188.245.59.37,188.245.59.37,443,4.94,DE,FRA,141.66,182.12
185.242.113.75,185.242.113.75,443,4.4,DE,FRA,136.27,153.8
72.144.41.99,72.144.41.99,443,4.31,DE,FRA,177.6,327.24
91.219.23.154,91.219.23.154,443,4.3,DE,FRA,137.19,148.42
84.200.77.47,84.200.77.47,443,4.3,DE,MUC,135.34,151.92
94.141.161.242,94.141.161.242,443,4.27,DE,MUC,157.51,193.49
91.107.130.114,2a01:4f8:c010:6690::1,443,4.17,DE,PRG,146.04,171.7
213.165.55.207,213.165.55.207,443,4.14,DE,FRA,145.9,152.57
185.242.113.117,185.242.113.117,443,4.09,DE,FRA,200.64,199.42
141.147.31.174,141.147.31.174,443,4.08,DE,MUC,137.59,168.34
49.13.228.85,2a01:4f8:1c1c:6bb8::1,443,4.03,DE,CDG,141.48,180.37
85.234.100.75,85.234.100.75,443,4.02,DE,FRA,145.25,150.02
63.176.161.135,63.176.161.135,443,4.0,DE,FRA,137.74,241.21
2.26.162.29,2.26.162.29,443,4.0,DE,FRA,139.12,146.48
